implementation,sequence_length,head_dim,batch_size,dtype,causal,phase,warmup,steps,samples_ms,p20_ms,p50_ms,p80_ms,mean_ms,peak_allocated_mib,peak_reserved_mib,triton_block_m,triton_block_n,num_warps,num_stages,status,error
eager,512,64,1,torch.bfloat16,True,forward,1,1,[1.2308452278375626],1.2308452278375626,1.2308452278375626,1.2308452278375626,1.2308452278375626,11.06640625,24.0,,,,,ok,
eager,512,64,1,torch.bfloat16,True,backward,1,1,[2.5305207818746567],2.5305207818746567,2.5305207818746567,2.5305207818746567,2.5305207818746567,20.875,26.0,,,,,ok,
eager,512,64,1,torch.bfloat16,True,forward_backward,1,1,[1.9793715327978134],1.9793715327978134,1.9793715327978134,1.9793715327978134,1.9793715327978134,20.875,26.0,,,,,ok,
compiled,512,64,1,torch.bfloat16,True,forward,1,1,[18.374808132648468],18.374808132648468,18.374808132648468,18.374808132648468,18.374808132648468,9.00146484375,26.0,,,,,ok,
compiled,512,64,1,torch.bfloat16,True,backward,1,1,[10.521132498979568],10.521132498979568,10.521132498979568,10.521132498979568,10.521132498979568,9.755859375,26.0,,,,,ok,
compiled,512,64,1,torch.bfloat16,True,forward_backward,1,1,[0.6671156734228134],0.6671156734228134,0.6671156734228134,0.6671156734228134,0.6671156734228134,0.314453125,26.0,,,,,ok,
eager,512,128,1,torch.bfloat16,True,forward,1,1,[0.6485320627689362],0.6485320627689362,0.6485320627689362,0.6485320627689362,0.6485320627689362,19.380859375,48.0,,,,,ok,
eager,512,128,1,torch.bfloat16,True,backward,1,1,[1.3808142393827438],1.3808142393827438,1.3808142393827438,1.3808142393827438,1.3808142393827438,21.251953125,50.0,,,,,ok,
eager,512,128,1,torch.bfloat16,True,forward_backward,1,1,[1.3335216790437698],1.3335216790437698,1.3335216790437698,1.3335216790437698,1.3335216790437698,21.251953125,50.0,,,,,ok,
compiled,512,128,1,torch.bfloat16,True,forward,1,1,[4.392486065626144],4.392486065626144,4.392486065626144,4.392486065626144,4.392486065626144,9.37744140625,26.0,,,,,ok,
compiled,512,128,1,torch.bfloat16,True,backward,1,1,[12.946544215083122],12.946544215083122,12.946544215083122,12.946544215083122,12.946544215083122,10.3818359375,26.0,,,,,ok,
compiled,512,128,1,torch.bfloat16,True,forward_backward,1,1,[0.7323361933231354],0.7323361933231354,0.7323361933231354,0.7323361933231354,0.7323361933231354,0.6279296875,26.0,,,,,ok,
eager,2048,64,1,torch.bfloat16,True,forward,1,1,[0.980006530880928],0.980006530880928,0.980006530880928,0.980006530880928,0.980006530880928,61.0185546875,118.0,,,,,ok,
eager,2048,64,1,torch.bfloat16,True,backward,1,1,[1.842401921749115],1.842401921749115,1.842401921749115,1.842401921749115,1.842401921749115,85.7529296875,136.0,,,,,ok,
eager,2048,64,1,torch.bfloat16,True,forward_backward,1,1,[1.8255598843097687],1.8255598843097687,1.8255598843097687,1.8255598843097687,1.8255598843097687,85.7529296875,136.0,,,,,ok,
compiled,2048,64,1,torch.bfloat16,True,forward,1,1,[4.6048033982515335],4.6048033982515335,4.6048033982515335,4.6048033982515335,4.6048033982515335,17.62841796875,118.0,,,,,ok,
compiled,2048,64,1,torch.bfloat16,True,backward,1,1,[10.824218392372131],10.824218392372131,10.824218392372131,10.824218392372131,10.824218392372131,26.64453125,118.0,,,,,ok,
compiled,2048,64,1,torch.bfloat16,True,forward_backward,1,1,[0.7282700389623642],0.7282700389623642,0.7282700389623642,0.7282700389623642,0.7282700389623642,1.25390625,118.0,,,,,ok,
eager,2048,128,1,torch.bfloat16,True,forward,1,1,[1.031065359711647],1.031065359711647,1.031065359711647,1.031065359711647,1.031065359711647,61.76953125,212.0,,,,,ok,
eager,2048,128,1,torch.bfloat16,True,backward,1,1,[1.93842314183712],1.93842314183712,1.93842314183712,1.93842314183712,1.93842314183712,87.25390625,230.0,,,,,ok,
eager,2048,128,1,torch.bfloat16,True,forward_backward,1,1,[1.8844623118638992],1.8844623118638992,1.8844623118638992,1.8844623118638992,1.8844623118638992,87.25390625,230.0,,,,,ok,
compiled,2048,128,1,torch.bfloat16,True,forward,1,1,[4.49979305267334],4.49979305267334,4.49979305267334,4.49979305267334,4.49979305267334,19.12890625,118.0,,,,,ok,
compiled,2048,128,1,torch.bfloat16,True,backward,1,1,[10.952027514576912],10.952027514576912,10.952027514576912,10.952027514576912,10.952027514576912,29.14453125,122.0,,,,,ok,
compiled,2048,128,1,torch.bfloat16,True,forward_backward,1,1,[1.1499058455228806],1.1499058455228806,1.1499058455228806,1.1499058455228806,1.1499058455228806,2.50390625,122.0,,,,,ok,
eager,8192,64,1,torch.bfloat16,True,forward,1,1,[11.366920545697212],11.366920545697212,11.366920545697212,11.366920545697212,11.366920545697212,723.31640625,1060.0,,,,,ok,
eager,8192,64,1,torch.bfloat16,True,backward,1,1,[15.825003385543823],15.825003385543823,15.825003385543823,15.825003385543823,15.825003385543823,1110.25390625,1576.0,,,,,ok,
eager,8192,64,1,torch.bfloat16,True,forward_backward,1,1,[15.474198386073112],15.474198386073112,15.474198386073112,15.474198386073112,15.474198386073112,1110.25390625,1576.0,,,,,ok,
compiled,8192,64,1,torch.bfloat16,True,forward,1,1,[5.051996558904648],5.051996558904648,5.051996558904648,5.051996558904648,5.051996558904648,142.12890625,250.0,,,,,ok,
compiled,8192,64,1,torch.bfloat16,True,backward,1,1,[13.014106079936028],13.014106079936028,13.014106079936028,13.014106079936028,13.014106079936028,274.19140625,384.0,,,,,ok,
compiled,8192,64,1,torch.bfloat16,True,forward_backward,1,1,[2.036266028881073],2.036266028881073,2.036266028881073,2.036266028881073,2.036266028881073,5.00390625,384.0,,,,,ok,
eager,8192,128,1,torch.bfloat16,True,forward,1,1,[10.190904140472412],10.190904140472412,10.190904140472412,10.190904140472412,10.190904140472412,726.31640625,1316.0,,,,,ok,
eager,8192,128,1,torch.bfloat16,True,backward,1,1,[14.438183978199959],14.438183978199959,14.438183978199959,14.438183978199959,14.438183978199959,1116.25390625,1828.0,,,,,ok,
eager,8192,128,1,torch.bfloat16,True,forward_backward,1,1,[14.61724378168583],14.61724378168583,14.61724378168583,14.61724378168583,14.61724378168583,1116.25390625,1828.0,,,,,ok,
compiled,8192,128,1,torch.bfloat16,True,forward,1,1,[5.127657204866409],5.127657204866409,5.127657204866409,5.127657204866409,5.127657204866409,148.12890625,400.0,,,,,ok,
compiled,8192,128,1,torch.bfloat16,True,backward,1,1,[12.89861835539341],12.89861835539341,12.89861835539341,12.89861835539341,12.89861835539341,284.19140625,400.0,,,,,ok,
compiled,8192,128,1,torch.bfloat16,True,forward_backward,1,1,[2.0085014402866364],2.0085014402866364,2.0085014402866364,2.0085014402866364,2.0085014402866364,10.00390625,400.0,,,,,ok,
eager,16384,64,1,torch.bfloat16,True,forward,1,1,[25.129301473498344],25.129301473498344,25.129301473498344,25.129301473498344,25.129301473498344,2830.25,3606.0,,,,,ok,
eager,16384,64,1,torch.bfloat16,True,backward,1,1,[39.39214535057545],39.39214535057545,39.39214535057545,39.39214535057545,39.39214535057545,4380.25,5654.0,,,,,ok,
eager,16384,64,1,torch.bfloat16,True,forward_backward,1,1,[39.2155684530735],39.2155684530735,39.2155684530735,39.2155684530735,39.2155684530735,4380.25,5654.0,,,,,ok,
eager,16384,128,1,torch.bfloat16,True,forward,1,1,[23.04385043680668],23.04385043680668,23.04385043680668,23.04385043680668,23.04385043680668,2844.375,3606.0,,,,,ok,
eager,16384,128,1,torch.bfloat16,True,backward,1,1,[40.63919372856617],40.63919372856617,40.63919372856617,40.63919372856617,40.63919372856617,4392.25,5654.0,,,,,ok,
eager,16384,128,1,torch.bfloat16,True,forward_backward,1,1,[39.572522044181824],39.572522044181824,39.572522044181824,39.572522044181824,39.572522044181824,4392.25,5654.0,,,,,ok,
